
2025/02/22 (18:20:02) | ===> btop++ v.1.4.0
2025/02/22 (18:20:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/22 (18:20:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/22 (18:26:06) | ===> btop++ v.1.4.0
2025/02/22 (18:26:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/22 (18:26:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/22 (18:44:27) | ===> btop++ v.1.4.0
2025/02/22 (18:44:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/22 (18:44:27) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/22 (21:48:36) | ===> btop++ v.1.4.0
2025/02/22 (21:48:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/22 (21:48:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/22 (22:09:17) | ===> btop++ v.1.4.0
2025/02/22 (22:09:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/22 (22:09:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/22 (22:16:43) | ===> btop++ v.1.4.0
2025/02/22 (22:16:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/22 (22:16:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/23 (11:58:29) | ===> btop++ v.1.4.0
2025/02/23 (11:58:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (11:58:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/23 (12:14:08) | ===> btop++ v.1.4.0
2025/02/23 (12:14:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (12:14:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/23 (12:26:11) | ===> btop++ v.1.4.0
2025/02/23 (12:26:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (12:26:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/23 (12:36:52) | ===> btop++ v.1.4.0
2025/02/23 (12:36:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (12:36:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/23 (14:34:03) | ===> btop++ v.1.4.0
2025/02/23 (14:34:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (14:34:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/23 (14:47:36) | ===> btop++ v.1.4.0
2025/02/23 (14:47:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (14:47:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/23 (15:22:23) | ===> btop++ v.1.4.0
2025/02/23 (15:22:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (15:22:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/23 (15:23:47) | ===> btop++ v.1.4.0
2025/02/23 (15:23:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (15:23:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/24 (16:26:10) | ===> btop++ v.1.4.0
2025/02/24 (16:26:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/24 (16:26:10) | WARNING: ROCm SMI: Failed to get PCIe throughput
